fid,PSGC_CODE,REGION,PROVINCE,CITY/MUNICIPALITY,BARANGAY,OFFICE,PSGC
1,"1380100001",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,001_BARANGAY 1,801_NCR IV,"80100001"
2,"1380100002",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,002_BARANGAY 2,801_NCR IV,"80100002"
3,"1380100003",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,003_BARANGAY 3,801_NCR IV,"80100003"
4,"1380100004",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,004_BARANGAY 4,801_NCR IV,"80100004"
5,"1380100005",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,005_BARANGAY 5,801_NCR IV,"80100005"
6,"1380100006",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,006_BARANGAY 6,801_NCR IV,"80100006"
7,"1380100007",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,007_BARANGAY 7,801_NCR IV,"80100007"
8,"1380100008",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,008_BARANGAY 8,801_NCR IV,"80100008"
9,"1380100009",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,009_BARANGAY 9,801_NCR IV,"80100009"
10,"1380100010",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,010_BARANGAY 10,801_NCR IV,"80100010"
11,"1380100011",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,011_BARANGAY 11,801_NCR IV,"80100011"
12,"1380100012",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,012_BARANGAY 12,801_NCR IV,"80100012"
13,"1380100013",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,013_BARANGAY 13,801_NCR IV,"80100013"
14,"1380100014",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,014_BARANGAY 14,801_NCR IV,"80100014"
15,"1380100015",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,015_BARANGAY 15,801_NCR IV,"80100015"
16,"1380100016",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,016_BARANGAY 16,801_NCR IV,"80100016"
17,"1380100017",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,017_BARANGAY 17,801_NCR IV,"80100017"
18,"1380100018",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,018_BARANGAY 18,801_NCR IV,"80100018"
19,"1380100019",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,019_BARANGAY 19,801_NCR IV,"80100019"
20,"1380100020",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,020_BARANGAY 20,801_NCR IV,"80100020"
21,"1380100021",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,021_BARANGAY 21,801_NCR IV,"80100021"
22,"1380100022",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,022_BARANGAY 22,801_NCR IV,"80100022"
23,"1380100023",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,023_BARANGAY 23,801_NCR IV,"80100023"
24,"1380100024",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,024_BARANGAY 24,801_NCR IV,"80100024"
25,"1380100025",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,025_BARANGAY 25,801_NCR IV,"80100025"
26,"1380100026",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,026_BARANGAY 26,801_NCR IV,"80100026"
27,"1380100027",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,027_BARANGAY 27,801_NCR IV,"80100027"
28,"1380100028",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,028_BARANGAY 28,801_NCR IV,"80100028"
29,"1380100029",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,029_BARANGAY 29,801_NCR IV,"80100029"
30,"1380100030",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,030_BARANGAY 30,801_NCR IV,"80100030"
31,"1380100031",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,031_BARANGAY 31,801_NCR IV,"80100031"
32,"1380100032",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,032_BARANGAY 32,801_NCR IV,"80100032"
33,"1380100033",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,033_BARANGAY 33,801_NCR IV,"80100033"
34,"1380100034",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,034_BARANGAY 34,801_NCR IV,"80100034"
35,"1380100035",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,035_BARANGAY 35,801_NCR IV,"80100035"
